filing_dates,ticker
2017-03-22,ABUS
2017-05-04,ABUS
2017-05-17,ABUS
2017-08-03,ABUS
2017-11-02,ABUS
2018-03-16,ABUS
2018-05-04,ABUS
2018-08-03,ABUS
2018-11-07,ABUS
2019-03-07 00:00:00,ABUS
2015-12-16,AC
2016-03-24,AC
2016-05-13,AC
2016-08-05,AC
2016-11-04,AC
2017-03-14,AC
2017-05-03,AC
2017-08-04,AC
2017-11-07,AC
2018-03-09,AC
2018-05-09,AC
2018-08-08,AC
2018-11-07,AC
2019-03-08 00:00:00,AC
2015-11-05,ACAD
2016-02-29,ACAD
2016-05-05,ACAD
2016-08-04,ACAD
2016-11-07,ACAD
2017-02-28,ACAD
2017-05-09,ACAD
2017-08-08,ACAD
2017-11-07,ACAD
2018-02-27,ACAD
2018-05-04,ACAD
2018-08-08,ACAD
2018-11-06,ACAD
2019-02-27 00:00:00,ACAD
2016-03-30,ACBI
2017-03-14,ACBI
2018-03-15,ACBI
2018-05-09 00:00:00,ACBI
2018-08-08 00:00:00,ACBI
2018-11-08 00:00:00,ACBI
2019-03-14 00:00:00,ACBI
2015-10-28,ACCO
2016-02-24,ACCO
2016-04-27,ACCO
2016-08-02,ACCO
2016-10-26,ACCO
2017-02-27,ACCO
2017-05-09,ACCO
2017-08-03,ACCO
2017-11-01,ACCO
2018-02-28,ACCO
2018-05-01,ACCO
2018-07-31,ACCO
2018-10-30,ACCO
2019-02-27 00:00:00,ACCO
2015-11-10,ACER
2016-03-15,ACER
2016-05-12,ACER
2016-08-11,ACER
2016-11-14,ACER
2017-03-28,ACER
2017-05-12,ACER
2017-08-14,ACER
2017-11-13,ACER
2018-03-07,ACER
2018-05-14,ACER
2018-08-13,ACER
2018-11-09,ACER
2019-03-07 00:00:00,ACER
2015-11-06,ACET
2016-02-05,ACET
2016-05-06,ACET
2016-08-26,ACET
2016-11-03,ACET
2017-02-03,ACET
2017-05-05,ACET
2017-08-25,ACET
2017-11-03,ACET
2017-11-09,ACET
2018-02-02,ACET
2018-05-07,ACET
2018-09-28,ACET
2018-10-12,ACET
2018-10-25,ACET
2018-11-09,ACET
2019-02-20 00:00:00,ACET
2015-11-04,ACHC
2016-02-26,ACHC
2016-04-29,ACHC
2016-07-29,ACHC
2016-11-02,ACHC
2017-02-24,ACHC
2017-04-26,ACHC
2017-07-28,ACHC
2017-10-25,ACHC
2018-02-27,ACHC
2018-05-03,ACHC
2018-07-31,ACHC
2018-11-06,ACHC
2019-03-01 00:00:00,ACHC
2015-11-05,ACHN
2016-02-25,ACHN
2016-05-03,ACHN
2016-08-04,ACHN
2016-11-03,ACHN
2017-02-23,ACHN
2017-05-04,ACHN
2017-08-08,ACHN
2017-11-01,ACHN
2018-02-22,ACHN
2018-05-02,ACHN
2018-08-08,ACHN
2018-11-07,ACHN
2019-03-07 00:00:00,ACHN
2015-11-12,ACHV
2016-03-09,ACHV
2016-05-12,ACHV
2016-08-04,ACHV
2016-11-10,ACHV
2017-02-23,ACHV
2017-05-15,ACHV
2017-07-31,ACHV
2017-11-09,ACHV
2018-03-01,ACHV
2018-05-09,ACHV
2018-05-23,ACHV
2018-08-08,ACHV
2018-11-07,ACHV
2019-03-14 00:00:00,ACHV
2016-08-11,ACIA
2016-11-10,ACIA
2017-02-23,ACIA
2017-05-09,ACIA
2017-08-03,ACIA
2017-11-02,ACIA
2018-02-22,ACIA
2018-05-03,ACIA
2018-08-02,ACIA
2018-11-01,ACIA
2019-02-21 00:00:00,ACIA
2015-11-05,ACIW
2016-02-26,ACIW
2016-05-05,ACIW
2016-07-28,ACIW
2016-11-03,ACIW
2017-03-01,ACIW
2017-05-04,ACIW
2017-07-27,ACIW
2017-11-02,ACIW
2018-02-27,ACIW
2018-05-10,ACIW
2018-08-02,ACIW
2018-11-08,ACIW
2019-03-01 00:00:00,ACIW
2015-11-05,ACLS
2016-03-04,ACLS
2016-05-05,ACLS
2016-08-08,ACLS
2016-11-03,ACLS
2017-03-14,ACLS
2017-05-05,ACLS
2017-08-04,ACLS
2017-11-03,ACLS
2018-03-14,ACLS
2018-05-04,ACLS
2018-08-03,ACLS
2018-11-02,ACLS
2019-03-11 00:00:00,ACLS
2015-11-25,ACM
2016-02-10,ACM
2016-05-11,ACM
2016-08-10,ACM
2016-11-16,ACM
2017-02-08,ACM
2017-05-10,ACM
2017-08-09,ACM
2017-11-14,ACM
2018-02-07,ACM
2018-05-09,ACM
2018-08-08,ACM
2018-11-13,ACM
2019-02-06 00:00:00,ACM
2017-12-08,ACMR
2018-03-23,ACMR
2018-05-14,ACMR
2018-08-09,ACMR
2018-10-15,ACMR
2018-11-14,ACMR
2019-03-14 00:00:00,ACMR
2015-10-30,ACN
2015-12-17,ACN
2016-03-24,ACN
2016-06-23,ACN
2016-10-28,ACN
2016-12-21,ACN
2017-03-23,ACN
2017-06-22,ACN
2017-10-26,ACN
2017-12-21,ACN
2018-03-22,ACN
2018-06-28,ACN
2018-10-24,ACN
2018-12-20,ACN
2019-03-28 00:00:00,ACN
2015-11-09,ACOR
2016-02-29,ACOR
2016-05-06,ACOR
2016-08-04,ACOR
2016-11-07,ACOR
2017-02-27,ACOR
2017-05-09,ACOR
2017-08-08,ACOR
2017-11-07,ACOR
2018-03-01,ACOR
2018-03-09,ACOR
2018-05-09,ACOR
2018-08-08,ACOR
2018-11-06,ACOR
2019-02-27 00:00:00,ACOR
2015-11-18,ACRS
2015-12-03,ACRS
2016-03-23,ACRS
2016-04-25,ACRS
2016-05-11,ACRS
2016-08-11,ACRS
2016-11-03,ACRS
2017-03-15,ACRS
2017-05-09,ACRS
2017-08-08,ACRS
2017-11-07,ACRS
2018-03-12,ACRS
2018-05-08,ACRS
2018-08-03,ACRS
2018-11-06,ACRS
2019-03-18 00:00:00,ACRS
2015-11-03,ACRX
2016-03-07,ACRX
2016-05-02,ACRX
2016-07-29,ACRX
2016-11-02,ACRX
2017-03-03,ACRX
2017-05-08,ACRX
2017-08-02,ACRX
2017-11-09,ACRX
2018-03-09,ACRX
2018-05-10,ACRX
2018-08-02,ACRX
2018-11-05,ACRX
2019-03-07 00:00:00,ACRX
2015-11-09,ACTG
2016-03-15,ACTG
2016-05-09,ACTG
2016-08-09,ACTG
2016-11-14,ACTG
2017-03-10,ACTG
2017-05-10,ACTG
2017-08-07,ACTG
2017-11-07,ACTG
2018-03-07,ACTG
2018-04-02,ACTG
2018-04-30,ACTG
2018-05-10,ACTG
2018-08-10,ACTG
2018-11-09,ACTG
2019-03-15 00:00:00,ACTG
2015-11-12,ACY
2016-03-11,ACY
2016-05-12,ACY
2016-08-11,ACY
2016-11-10,ACY
2017-03-09,ACY
2017-05-11,ACY
2017-08-11,ACY
2017-11-09,ACY
2018-03-08,ACY
2018-05-15,ACY
2018-08-10,ACY
2018-11-08,ACY
2019-03-19 00:00:00,ACY
2016-05-12,ADAP
2016-08-08,ADAP
2016-11-10,ADAP
2017-03-13,ADAP
2017-04-06,ADAP
2017-05-10,ADAP
2017-08-03,ADAP
2017-11-02,ADAP
2018-03-15,ADAP
2018-05-09,ADAP
2018-08-02,ADAP
2018-11-06,ADAP
2019-02-27 00:00:00,ADAP
2016-01-19,ADBE
2016-03-30,ADBE
2016-06-29,ADBE
2016-09-27,ADBE
2017-01-20,ADBE
2017-03-29,ADBE
2017-06-28,ADBE
2017-09-27,ADBE
2018-01-22,ADBE
2018-03-28,ADBE
2018-06-27,ADBE
2018-09-26,ADBE
2019-01-25,ADBE
2019-03-27 00:00:00,ADBE
2015-10-30,ADC
2016-03-11,ADC
2016-04-27,ADC
2016-07-27,ADC
2016-10-24,ADC
2017-02-23,ADC
2017-04-24,ADC
2017-07-24,ADC
2017-10-23,ADC
2018-02-22,ADC
2018-04-23,ADC
2018-07-23,ADC
2018-10-22,ADC
2019-02-21 00:00:00,ADC
2016-02-29,ADES
2016-03-17,ADES
2016-04-19,ADES
2016-05-10,ADES
2016-08-09,ADES
2016-11-08,ADES
2017-03-13,ADES
2017-05-08,ADES
2017-08-07,ADES
2017-11-06,ADES
2018-03-12,ADES
2018-05-09,ADES
2018-08-06,ADES
2018-11-06,ADES
2019-03-18 00:00:00,ADES
2015-11-24,ADI
2016-02-17,ADI
2016-05-18,ADI
2016-08-17,ADI
2016-11-22,ADI
2017-02-15,ADI
2017-05-31,ADI
2017-08-30,ADI
2017-11-22,ADI
2018-02-28,ADI
2018-05-30,ADI
2018-08-22,ADI
2018-11-27,ADI
2019-02-20 00:00:00,ADI
2018-09-10,ADIL
2018-11-14,ADIL
2019-02-19 00:00:00,ADIL
2015-11-03,ADM
2016-02-19,ADM
2016-05-03,ADM
2016-08-02,ADM
2016-11-01,ADM
2017-02-17,ADM
2017-05-02,ADM
2017-08-01,ADM
2017-10-31,ADM
2018-02-16,ADM
2018-05-01,ADM
2018-07-31,ADM
2018-11-06,ADM
2019-02-19 00:00:00,ADM
2015-11-10,ADMA
2016-03-23,ADMA
2016-05-13,ADMA
2016-08-12,ADMA
2016-11-10,ADMA
2017-02-24,ADMA
2017-05-12,ADMA
2017-08-11,ADMA
2017-11-03,ADMA
2018-03-29,ADMA
2018-05-14,ADMA
2018-08-10,ADMA
2018-11-09,ADMA
2019-03-13 00:00:00,ADMA
2015-11-09,ADMP
2016-03-23,ADMP
2016-05-13,ADMP
2016-08-15,ADMP
2016-11-14,ADMP
2017-03-30,ADMP
2017-05-12,ADMP
2017-08-14,ADMP
2017-11-14,ADMP
2018-03-16,ADMP
2018-04-30,ADMP
2018-05-10,ADMP
2018-08-09,ADMP
2018-11-09,ADMP
2019-03-15 00:00:00,ADMP
2015-11-12,ADMS
2016-02-23,ADMS
2016-05-10,ADMS
2016-08-04,ADMS
2016-11-03,ADMS
2017-02-28,ADMS
2017-05-09,ADMS
2017-08-08,ADMS
2017-11-02,ADMS
2018-02-22,ADMS
2018-05-03,ADMS
2018-08-02,ADMS
2018-11-01,ADMS
2019-03-04 00:00:00,ADMS
2016-11-29,ADNT
2017-02-08,ADNT
2017-05-01,ADNT
2017-06-29,ADNT
2017-07-31,ADNT
2017-11-22,ADNT
2018-01-30,ADNT
2018-05-07,ADNT
2018-06-29,ADNT
2018-07-30,ADNT
2018-11-29,ADNT
2019-02-11 00:00:00,ADNT
2017-06-19,ADOM
2017-08-14,ADOM
2017-11-13,ADOM
2018-03-12,ADOM
2018-05-10,ADOM
2018-08-09,ADOM
2018-10-24,ADOM
2019-02-19 00:00:00,ADOM
2015-11-05,ADP
2016-02-03,ADP
2016-05-05,ADP
2016-08-05,ADP
2016-11-03,ADP
2017-02-01,ADP
2017-05-04,ADP
2017-08-04,ADP
2017-11-02,ADP
2018-02-01,ADP
2018-05-04,ADP
2018-08-03,ADP
2018-11-01,ADP
2019-01-31 00:00:00,ADP
2015-11-23,ADRO
2016-03-08,ADRO
2016-05-02,ADRO
2016-08-03,ADRO
2016-11-02,ADRO
2017-03-01,ADRO
2017-05-02,ADRO
2017-07-24,ADRO
2017-08-02,ADRO
2017-10-31,ADRO
2018-03-01,ADRO
2018-05-02,ADRO
2018-08-01,ADRO
2018-10-30,ADRO
2019-02-27 00:00:00,ADRO
2015-11-05,ADS
2016-02-25,ADS
2016-05-05,ADS
2016-08-08,ADS
2016-11-07,ADS
2017-02-27,ADS
2017-05-08,ADS
2017-08-07,ADS
2017-11-08,ADS
2018-02-27,ADS
2018-05-08,ADS
2018-08-07,ADS
2018-11-06,ADS
2019-02-26 00:00:00,ADS
2015-12-09,ADSK
2016-03-23,ADSK
2016-06-06,ADSK
2016-08-30,ADSK
2016-12-01,ADSK
2017-03-21,ADSK
2017-05-31,ADSK
2017-08-31,ADSK
2017-12-05,ADSK
2018-03-22,ADSK
2018-06-08,ADSK
2018-08-30,ADSK
2018-12-06,ADSK
2019-03-25 00:00:00,ADSK
2018-03-15,ADT
2018-05-09,ADT
2018-08-09,ADT
2018-11-08,ADT
2019-03-11 00:00:00,ADT
2015-11-04,ADTN
2016-02-24,ADTN
2016-05-04,ADTN
2016-08-05,ADTN
2016-11-08,ADTN
2017-02-24,ADTN
2017-05-03,ADTN
2017-08-04,ADTN
2017-11-07,ADTN
2018-02-23,ADTN
2018-05-09,ADTN
2018-08-03,ADTN
2018-11-06,ADTN
2019-02-28 00:00:00,ADTN
2015-11-06,ADUS
2016-03-11,ADUS
2016-05-09,ADUS
2016-08-08,ADUS
2016-11-09,ADUS
2017-03-15,ADUS
2017-05-09,ADUS
2017-08-08,ADUS
2017-11-07,ADUS
2018-03-14,ADUS
2018-05-09,ADUS
2018-08-07,ADUS
2018-11-08,ADUS
2019-03-18 00:00:00,ADUS
2015-11-09,ADVM
2016-03-04,ADVM
2016-05-06,ADVM
2016-08-09,ADVM
2016-11-08,ADVM
2017-03-09,ADVM
2017-04-05,ADVM
2017-05-09,ADVM
2017-08-08,ADVM
2017-11-08,ADVM
2018-03-06,ADVM
2018-05-09,ADVM
2018-08-08,ADVM
2018-11-08,ADVM
2019-03-06 00:00:00,ADVM
2016-01-08,ADXS
2016-02-26,ADXS
2016-06-08,ADXS
2016-08-05,ADXS
2016-09-08,ADXS
2017-01-09,ADXS
2017-03-10,ADXS
2017-06-06,ADXS
2017-09-11,ADXS
2017-12-21,ADXS
2018-03-12,ADXS
2018-06-07,ADXS
2018-09-10,ADXS
2019-01-11,ADXS
2019-03-12 00:00:00,ADXS
2015-11-03,AEGN
2016-02-29,AEGN
2016-05-04,AEGN
2016-08-03,AEGN
2016-11-01,AEGN
2017-03-01,AEGN
2017-05-03,AEGN
2017-08-02,AEGN
2017-11-02,AEGN
2018-03-01,AEGN
2018-05-03,AEGN
2018-08-02,AEGN
2018-11-02,AEGN
2019-03-01 00:00:00,AEGN
2015-10-14,AEHR
2016-01-13,AEHR
2016-04-13,AEHR
2016-08-29,AEHR
2016-10-14,AEHR
2017-01-13,AEHR
2017-04-06,AEHR
2017-08-29,AEHR
2017-10-13,AEHR
2018-01-12,AEHR
2018-04-12,AEHR
2018-08-28,AEHR
2018-10-12,AEHR
2019-01-14,AEHR
2015-11-05,AEIS
2016-02-25,AEIS
2016-05-05,AEIS
2016-08-04,AEIS
2016-10-31,AEIS
2017-02-24,AEIS
2017-05-01,AEIS
2017-07-31,AEIS
2017-10-31,AEIS
2018-02-15,AEIS
2018-04-30,AEIS
2018-07-30,AEIS
2018-10-29,AEIS
2019-02-21 00:00:00,AEIS
2015-11-09,AEL
2016-02-26,AEL
2016-05-10,AEL
2016-08-09,AEL
2016-11-09,AEL
2017-02-27,AEL
2017-05-09,AEL
2017-08-07,AEL
2017-11-09,AEL
2018-02-23,AEL
2018-05-08,AEL
2018-08-08,AEL
2018-11-06,AEL
2019-02-22 00:00:00,AEL
2015-11-16,AEMD
2016-02-04,AEMD
2016-06-29,AEMD
2016-08-11,AEMD
2016-11-10,AEMD
2017-02-10,AEMD
2017-06-28,AEMD
2017-08-10,AEMD
2017-11-02,AEMD
2018-02-01,AEMD
2018-06-08,AEMD
2018-08-08,AEMD
2018-11-06,AEMD
2019-02-11 00:00:00,AEMD
2015-12-04,AEO
2016-03-10,AEO
2016-05-25,AEO
2016-08-24,AEO
2016-12-02,AEO
2017-03-10,AEO
2017-05-23,AEO
2017-08-24,AEO
2017-12-07,AEO
2018-03-16,AEO
2018-06-01,AEO
2018-08-30,AEO
2018-12-12,AEO
2019-03-14 00:00:00,AEO
2015-11-06,AERI
2016-03-02,AERI
2016-05-03,AERI
2016-08-04,AERI
2016-11-03,AERI
2017-03-09,AERI
2017-05-03,AERI
2017-08-03,AERI
2017-11-09,AERI
2018-03-01,AERI
2018-05-09,AERI
2018-08-09,AERI
2018-11-07,AERI
2019-03-01 00:00:00,AERI
2015-11-05,AES
2016-02-24,AES
2016-05-09,AES
2016-08-05,AES
2016-11-04,AES
2017-02-27,AES
2017-05-08,AES
2017-08-08,AES
2017-11-02,AES
2018-02-27,AES
2018-05-08,AES
2018-08-07,AES
2018-11-06,AES
2019-02-27 00:00:00,AES
2015-11-16,AETI
2016-03-30,AETI
2016-05-16,AETI
2016-08-15,AETI
2016-11-14,AETI
2017-03-28,AETI
2017-05-15,AETI
2017-08-08,AETI
2017-11-14,AETI
2018-03-29,AETI
2018-05-15,AETI
2018-08-14,AETI
2018-11-14,AETI
2015-12-15,AEY
2016-02-09,AEY
2016-05-10,AEY
2016-08-09,AEY
2016-12-13,AEY
2017-02-14,AEY
2017-05-15,AEY
2017-08-14,AEY
2017-12-14,AEY
2018-02-13,AEY
2018-05-15,AEY
2018-08-14,AEY
2018-12-28,AEY
2018-12-31,AEY
2019-02-12 00:00:00,AEY
2015-11-16,AEYE
2016-03-30,AEYE
2016-05-13,AEYE
2016-08-15,AEYE
2016-11-14,AEYE
2017-03-30,AEYE
2017-05-15,AEYE
2017-08-14,AEYE
2017-11-14,AEYE
2018-04-02,AEYE
2018-05-15,AEYE
2018-08-14,AEYE
2018-11-14,AEYE
2019-03-27 00:00:00,AEYE
2015-11-09,AFH
2016-03-07,AFH
2016-05-09,AFH
2016-08-01,AFH
2016-10-31,AFH
2017-03-13,AFH
2017-03-22,AFH
2017-05-08,AFH
2017-08-07,AFH
2017-11-07,AFH
2018-04-03,AFH
2018-05-07,AFH
2018-08-06,AFH
2018-11-06,AFH
2016-05-09,AFI
2016-08-12,AFI
2016-11-10,AFI
2017-03-06,AFI
2017-05-08,AFI
2017-05-09,AFI
2017-08-07,AFI
2017-11-06,AFI
2018-03-06,AFI
2018-05-08,AFI
2018-08-07,AFI
2018-11-06,AFI
2019-03-05 00:00:00,AFI
2015-11-03,AFL
2016-02-25,AFL
2016-05-04,AFL
2016-08-05,AFL
2016-11-04,AFL
2017-02-24,AFL
2017-05-03,AFL
2017-08-03,AFL
2017-11-02,AFL
2018-02-23,AFL
2018-05-04,AFL
2018-08-03,AFL
2018-11-01,AFL
2019-02-25 00:00:00,AFL
2015-11-09,AGCO
2016-02-26,AGCO
2016-05-06,AGCO
2016-08-09,AGCO
2016-11-08,AGCO
2017-02-28,AGCO
2017-05-09,AGCO
2017-08-08,AGCO
2017-11-08,AGCO
2018-02-28,AGCO
2018-05-09,AGCO
2018-08-08,AGCO
2018-11-08,AGCO
2019-03-01 00:00:00,AGCO
2019-04-01 00:00:00,AGE
2015-11-04,AGEN
2016-03-15,AGEN
2016-05-09,AGEN
2016-08-04,AGEN
2016-11-09,AGEN
2017-03-16,AGEN
2017-05-04,AGEN
2017-08-07,AGEN
2017-11-07,AGEN
2018-03-16,AGEN
2018-05-10,AGEN
2018-08-09,AGEN
2018-11-07,AGEN
2019-03-18 00:00:00,AGEN
2015-11-16,AGFS
2016-03-11,AGFS
2016-05-10,AGFS
2016-08-09,AGFS
2016-11-09,AGFS
2017-03-16,AGFS
2017-05-09,AGFS
2017-08-09,AGFS
2017-11-09,AGFS
2018-03-22,AGFS
2018-05-10,AGFS
2018-08-15,AGFS
2018-11-07,AGFS
2019-03-11 00:00:00,AGFS
2015-11-06,AGIO
2016-02-26,AGIO
2016-05-09,AGIO
2016-08-08,AGIO
2016-11-03,AGIO
2017-02-16,AGIO
2017-05-04,AGIO
2017-08-08,AGIO
2017-11-01,AGIO
2018-02-14,AGIO
2018-05-04,AGIO
2018-08-02,AGIO
2018-11-01,AGIO
2019-02-14 00:00:00,AGIO
2016-05-19,AGLE
2016-08-09,AGLE
2016-11-09,AGLE
2017-03-23,AGLE
2017-05-09,AGLE
2017-08-09,AGLE
2017-11-07,AGLE
2018-03-13,AGLE
2018-05-08,AGLE
2018-08-09,AGLE
2018-11-08,AGLE
2019-03-07 00:00:00,AGLE
2015-11-09,AGM
2016-03-10,AGM
2016-05-10,AGM
2016-08-09,AGM
2016-11-09,AGM
2017-03-09,AGM
2017-05-10,AGM
2017-08-09,AGM
2017-11-09,AGM
2018-03-08,AGM
2018-05-10,AGM
2018-08-09,AGM
2018-11-08,AGM
2019-02-21 00:00:00,AGM
2015-11-06,AGN
2016-02-26,AGN
2016-04-05,AGN
2016-05-10,AGN
2016-08-08,AGN
2016-11-04,AGN
2017-02-24,AGN
2017-05-09,AGN
2017-08-09,AGN
2017-11-02,AGN
2018-02-16,AGN
2018-05-03,AGN
2018-05-25,AGN
2018-08-03,AGN
2018-10-31,AGN
2019-02-15 00:00:00,AGN
2015-11-06,AGNC
2016-02-23,AGNC
2016-05-05,AGNC
2016-08-05,AGNC
2016-11-07,AGNC
2017-02-27,AGNC
2017-05-08,AGNC
2017-08-03,AGNC
2017-11-03,AGNC
2018-02-26,AGNC
2018-05-07,AGNC
2018-08-06,AGNC
2018-11-05,AGNC
2019-02-22 00:00:00,AGNC
2015-12-16 00:00:00,AGR
2016-04-01 00:00:00,AGR
2016-05-12 00:00:00,AGR
2016-08-04 00:00:00,AGR
2016-11-04 00:00:00,AGR
2017-03-10 00:00:00,AGR
2017-05-05 00:00:00,AGR
2017-08-01 00:00:00,AGR
2017-11-02 00:00:00,AGR
2017-12-21 00:00:00,AGR
2018-03-26 00:00:00,AGR
2018-05-03 00:00:00,AGR
2018-08-02 00:00:00,AGR
2018-11-02 00:00:00,AGR
2019-03-01 00:00:00,AGR
2015-11-09,AGRX
2016-03-09,AGRX
2016-05-09,AGRX
2016-08-08,AGRX
2016-11-07,AGRX
2017-03-15,AGRX
2017-05-08,AGRX
2017-07-28,AGRX
2017-11-06,AGRX
2018-03-12,AGRX
2018-05-07,AGRX
2018-08-03,AGRX
2018-11-02,AGRX
2019-03-12 00:00:00,AGRX
2015-11-16,AGS
2016-03-10,AGS
2016-05-16,AGS
2016-08-15,AGS
2016-11-14,AGS
2017-03-10,AGS
2017-05-10,AGS
2017-08-14,AGS
2017-11-14,AGS
2017-12-18,AGS
2018-03-14,AGS
2018-03-30,AGS
2018-05-03,AGS
2018-08-02,AGS
2018-11-08,AGS
2019-03-05 00:00:00,AGS
2015-11-05,AGTC
2016-02-08,AGTC
2016-05-09,AGTC
2016-09-12,AGTC
2016-10-25,AGTC
2016-11-08,AGTC
2017-02-08,AGTC
2017-03-09,AGTC
2017-05-10,AGTC
2017-09-08,AGTC
2017-09-13,AGTC
2017-10-27,AGTC
2017-11-07,AGTC
2018-02-09,AGTC
2018-05-08,AGTC
2018-09-11,AGTC
2018-11-09,AGTC
2019-02-07 00:00:00,AGTC
2015-12-10,AGX
2016-04-15,AGX
2016-06-08,AGX
2016-09-07,AGX
2016-12-06,AGX
2017-04-11,AGX
2017-06-07,AGX
2017-09-07,AGX
2017-12-06,AGX
2018-04-11,AGX
2018-06-11,AGX
2018-09-05,AGX
2018-12-06,AGX
2015-11-05,AGYS
2016-02-09,AGYS
2016-06-10,AGYS
2016-07-29,AGYS
2016-08-04,AGYS
2016-11-09,AGYS
2017-02-09,AGYS
2017-06-02,AGYS
2017-08-04,AGYS
2017-11-02,AGYS
2018-01-26,AGYS
2018-05-25,AGYS
2018-08-02,AGYS
2018-10-26,AGYS
2019-01-30,AGYS
2015-11-04,AHH
2016-03-02,AHH
2016-05-04,AHH
2016-08-03,AHH
2016-11-02,AHH
2017-03-01,AHH
2017-05-03,AHH
2017-08-02,AHH
2017-11-01,AHH
2018-02-23,AHH
2018-05-02,AHH
2018-08-01,AHH
2018-10-31,AHH
2019-02-28 00:00:00,AHH
2015-11-05,AHL
2016-02-19,AHL
2016-04-28,AHL
2016-08-04,AHL
2016-11-07,AHL
2017-02-22,AHL
2017-05-04,AHL
2017-08-02,AHL
2017-10-31,AHL
2018-02-22,AHL
2018-05-09,AHL
2018-08-08,AHL
2018-10-31,AHL
2019-02-13 00:00:00,AHL
2015-11-13,AHPI
2016-02-16,AHPI
2016-05-13,AHPI
2016-09-23,AHPI
2016-11-14,AHPI
2017-02-14,AHPI
2017-05-15,AHPI
2017-09-28,AHPI
2017-11-13,AHPI
2018-02-14,AHPI
2018-05-15,AHPI
2018-09-28,AHPI
2018-11-14,AHPI
2019-02-14 00:00:00,AHPI
2015-11-09,AHT
2016-02-29,AHT
2016-03-15,AHT
2016-05-10,AHT
2016-08-09,AHT
2016-11-09,AHT
2017-03-16,AHT
2017-05-10,AHT
2017-08-08,AHT
2017-11-07,AHT
2018-03-14,AHT
2018-05-09,AHT
2018-08-09,AHT
2018-11-02,AHT
2019-03-01 00:00:00,AHT
2015-11-02 00:00:00,AI
2016-02-16 00:00:00,AI
2016-05-10 00:00:00,AI
2016-08-05 00:00:00,AI
2016-11-04 00:00:00,AI
2017-02-21 00:00:00,AI
2017-05-01 00:00:00,AI
2017-08-04 00:00:00,AI
2017-11-03 00:00:00,AI
2018-02-16 00:00:00,AI
2018-05-04 00:00:00,AI
2018-08-03 00:00:00,AI
2018-11-02 00:00:00,AI
2019-02-19 00:00:00,AI
2015-11-02,AIG
2016-02-19,AIG
2016-05-02,AIG
2016-08-02,AIG
2016-11-03,AIG
2017-02-23,AIG
2017-04-27,AIG
2017-05-04,AIG
2017-08-03,AIG
2017-11-03,AIG
2018-02-16,AIG
